"LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave"
"Barnsley","Yorkshire and The Humber",0.138964837108073,0.264721485411141,0.25499557913351,0.341318098347276,0.170615638091724,0.530703160046708,0.032864275573454,0.228930490818716,NA,0.6831
"Barrow-in-Furness","North West",0.155375815533113,0.25440164447225,0.272142282598981,0.318080257395656,0.404968226458694,0.423339110340843,0.0270132871172732,0.117157712305026,0.0245176198729058,0.6062
"Basildon","East",0.184455805540688,0.326276739078275,0.228677949834813,0.260589505546225,0.501979037514049,0.220420681980522,0.0340376085764673,0.223669807648317,NA,0.6862
"Basingstoke & Deane","South East",0.308329756061143,0.315870023703317,0.195729670206611,0.180070550028929,0.529410536261028,0.218680683139696,0.0823841331599612,0.146912205713944,NA,0.519
"Bassetlaw","East Midlands",0.164287186129346,0.261693797650938,0.2561302287245,0.317888787495216,0.32992538117722,0.462617782589096,0.0286351679492182,0.156128110112513,0.0216252705732658,0.6783
"Bath & North East Somerset","South West",0.298090846734243,0.326804359423824,0.192153799253106,0.182950994588827,0.440306480661803,0.192374614609726,0.183450858288308,0.0923105100888306,0.0858390060746665,0.4215
"Bedford","East",0.245760221643859,0.309335907984216,0.20019309881622,0.244710771555705,0.493873662169907,0.298357204508682,0.050679347987628,0.118327326731393,0.0359002576552376,0.5178
"Bexley","London",0.191040551894928,0.367192912631377,0.227479768274886,0.214286767198809,0.456750067224975,0.27822796356232,0.0307174064040123,0.191343015284152,0.0246522738241612,0.6295
"Birmingham","West Midlands",0.179658703501025,0.293885471311218,0.18362141626096,0.342834408926797,0.272759015482259,0.495132993505907,0.072765191283569,0.120665656368914,0.0327293716359698,0.5042
"Blaby","East Midlands",0.232448398832895,0.33763192968553,0.2430027736753,0.186916897806275,0.534658481348103,0.219985924035549,0.0728231524845454,0.170433078001108,NA,0.5947
